Qty,References,Value,Footprint,Manufacturer,MPN,Status,Sheets,Notes,Datasheet
1,BT1,CR2032 holder,Power_Output_Custom:KLS_CR2032_05,KLS Electronic,L-KLS5-CR2032-05-R1,SEÇİLDİ,/MCU/,,https://img.klsele.com/admin/product_upload/20250408144415L-KLS5-CR2032-05.pdf
2,"C1, C2",100 nF,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
2,"C12, C13",10uF,Capacitor_SMD:C_1210_3225Metric,,,MPN GEREKLİ,/POWER GENERATION/,X7R; C12+C13 effective capacitance >=10uF at 28V; verify actual MPN,
1,C14,100nF,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/POWER GENERATION/,X7R; C12+C13 effective capacitance >=10uF at 28V; verify actual MPN,
2,"C15, C16",47uF,Capacitor_SMD:C_1210_3225Metric,,,MPN GEREKLİ,/POWER GENERATION/,X7R; bank effective Cout >=44uF at 3.3V. Confirm exact MPN bias/ESR before manufacture.,
1,C17,100nF / 16V,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/POWER GENERATION/,,
1,C18,10nF,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/POWER GENERATION/,,
1,C19,18nF / 16V,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/POWER GENERATION/,,
2,"C20, C21",22uF,Capacitor_SMD:C_1206_3216Metric,,,MPN GEREKLİ,/USER INTERFACE/,X7R; C12+C13 effective capacitance >=10uF at 28V; verify actual MPN,
1,C22,100nF / 16V,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/USER INTERFACE/,X7R; C12+C13 effective capacitance >=10uF at 28V; verify actual MPN,
1,C3,1uF / 50V,Capacitor_SMD:C_0805_2012Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
1,C4,1uF / 10V,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/USB_PD_CONTROLLER/,,
1,C5,22uF,Capacitor_SMD:C_0805_2012Metric,,,MPN GEREKLİ,/MCU/,,
4,"C6, C9, C10, C11",100nF,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,"/MCU/, /POWER SENSING/",,
1,C7,1uF,Capacitor_SMD:C_0402_1005Metric,,,MPN GEREKLİ,/MCU/,,
