Sheet file,Global label,Direction
mcu.kicad_sch,TFT_SCLK,output
mcu.kicad_sch,PD_I2C_SCL_3V3,bidirectional
mcu.kicad_sch,PD_INT_3V3,input
mcu.kicad_sch,ENCODER_SW,input
mcu.kicad_sch,TFT_CS,output
mcu.kicad_sch,USB_DP,bidirectional
mcu.kicad_sch,ENCODER_B,input
mcu.kicad_sch,USB_DM,bidirectional
mcu.kicad_sch,TFT_DC,output
mcu.kicad_sch,INA_ALERT,input
mcu.kicad_sch,TFT_MOSI,output
mcu.kicad_sch,ENCODER_A,input
mcu.kicad_sch,TFT_BL_PWM,output
mcu.kicad_sch,TFT_RST,output
mcu.kicad_sch,PD_I2C_SDA_3V3,bidirectional
powergeneration.kicad_sch,PD_VOUT,passive
powergeneration.kicad_sch,PD_VOUT,passive
poweroutput.kicad_sch,OUT_POS,passive
powersensing.kicad_sch,OUT_POS,passive
powersensing.kicad_sch,PD_I2C_SDA_3V3,bidirectional
powersensing.kicad_sch,OUT_POS,passive
powersensing.kicad_sch,PD_VOUT,passive
powersensing.kicad_sch,PD_I2C_SCL_3V3,bidirectional
powersensing.kicad_sch,INA_ALERT,output
usb_c_input.kicad_sch,USB_DM,passive
usb_c_input.kicad_sch,USB_DM,bidirectional
usb_c_input.kicad_sch,USB_DP,passive
usb_c_input.kicad_sch,USB_CC2,bidirectional
usb_c_input.kicad_sch,USB_VBUS,passive
usb_c_input.kicad_sch,USB_DP,bidirectional
usb_c_input.kicad_sch,USB_CC2,passive
usb_c_input.kicad_sch,USB_CC2,bidirectional
usb_c_input.kicad_sch,USB_CC1,passive
usb_c_input.kicad_sch,USB_VBUS,passive
usb_c_input.kicad_sch,USB_CC1,bidirectional
usb_pd_controller.kicad_sch,PD_I2C_SCL_5V,bidirectional
usb_pd_controller.kicad_sch,PD_5V,passive
usb_pd_controller.kicad_sch,PD_VBUS_SENSED,passive
usb_pd_controller.kicad_sch,PD_I2C_SDA_3V3,bidirectional
usb_pd_controller.kicad_sch,PD_I2C_SCL_5V,bidirectional
usb_pd_controller.kicad_sch,PD_VBUS_SENSED,passive
usb_pd_controller.kicad_sch,USB_VBUS,passive
usb_pd_controller.kicad_sch,PD_I2C_SDA_5V,bidirectional
usb_pd_controller.kicad_sch,PD_I2C_SDA_5V,bidirectional
usb_pd_controller.kicad_sch,PD_VOUT,passive
usb_pd_controller.kicad_sch,PD_INT_3V3,output
usb_pd_controller.kicad_sch,PD_INT_5V,passive
usb_pd_controller.kicad_sch,PD_VOUT,passive
usb_pd_controller.kicad_sch,PD_VBUS_SENSED,passive
usb_pd_controller.kicad_sch,PD_I2C_SCL_3V3,bidirectional
usb_pd_controller.kicad_sch,PD_VOUT,passive
usb_pd_controller.kicad_sch,USB_CC1,bidirectional
usb_pd_controller.kicad_sch,USB_CC2,bidirectional
usb_pd_controller.kicad_sch,PD_5V,passive
usb_pd_controller.kicad_sch,PD_5V,passive
usb_pd_controller.kicad_sch,USB_VBUS,passive
userinterface.kicad_sch,ENCODER_SW,output
userinterface.kicad_sch,TFT_DC,input
userinterface.kicad_sch,ENCODER_SW,output
userinterface.kicad_sch,BACKLIGHT_4V2,passive
userinterface.kicad_sch,ENCODER_A,output
userinterface.kicad_sch,TFT_CS,input
userinterface.kicad_sch,TFT_RST,input
userinterface.kicad_sch,TFT_BL_PWM,input
userinterface.kicad_sch,GND,passive
userinterface.kicad_sch,BACKLIGHT_4V2,passive
userinterface.kicad_sch,ENCODER_B,output
userinterface.kicad_sch,BACKLIGHT_4V2,passive
userinterface.kicad_sch,ENCODER_B,output
userinterface.kicad_sch,TFT_SCLK,input
userinterface.kicad_sch,TFT_MOSI,input
userinterface.kicad_sch,ENCODER_A,output
